data_length : 807         min_support_num : 20 
min_support : 2.50%       min_conf : 72.50% 

index  confidence   rules
 80    1.000        ['cuisine', 'takeaway', 'opening_hours', 'wheelchair']=>['smoking']
 81    1.000        ['opening_hours', 'takeaway', 'wheelchair', 'smoking']=>['cuisine']
 82    1.000        ['takeaway', 'opening_hours', 'wheelchair']=>['cuisine', 'smoking']
 83    1.000        ['internet_access', 'opening_hours', 'internet_access:fee', 'wheelchair']=>['cuisine']
 84    1.000        ['cuisine', 'opening_hours', 'internet_access:fee', 'wheelchair']=>['internet_access']
 85    1.000        ['cuisine', 'internet_access', 'opening_hours', 'wheelchair']=>['internet_access:fee']
 86    1.000        ['internet_access', 'opening_hours', 'wheelchair']=>['cuisine', 'internet_access:fee']
 87    1.000        ['opening_hours', 'internet_access:fee', 'wheelchair']=>['cuisine', 'internet_access']
 88    1.000        ['internet_access', 'opening_hours', 'internet_access:fee', 'wheelchair']=>['smoking']
 89    1.000        ['opening_hours', 'wheelchair', 'internet_access:fee', 'smoking']=>['internet_access']
 90    1.000        ['internet_access', 'opening_hours', 'wheelchair', 'smoking']=>['internet_access:fee']
 91    1.000        ['internet_access', 'opening_hours', 'wheelchair']=>['internet_access:fee', 'smoking']
 92    1.000        ['opening_hours', 'internet_access:fee', 'wheelchair']=>['smoking', 'internet_access']
 93    1.000        ['cuisine', 'opening_hours', 'internet_access:fee', 'wheelchair']=>['smoking']
 94    1.000        ['opening_hours', 'wheelchair', 'internet_access:fee', 'smoking']=>['cuisine']
 95    1.000        ['opening_hours', 'internet_access:fee', 'wheelchair']=>['cuisine', 'smoking']
 96    1.000        ['cuisine', 'internet_access', 'opening_hours', 'wheelchair']=>['smoking']
 97    1.000        ['internet_access', 'opening_hours', 'wheelchair', 'smoking']=>['cuisine']
 98    1.000        ['internet_access', 'opening_hours', 'wheelchair']=>['cuisine', 'smoking']
 99    1.000        ['internet_access:fee', 'wheelchair', 'cuisine', 'opening_hours', 'internet_access']=>['smoking']
 100   1.000        ['internet_access:fee', 'wheelchair', 'opening_hours', 'internet_access', 'smoking']=>['cuisine']
 101   1.000        ['internet_access:fee', 'wheelchair', 'cuisine', 'opening_hours', 'smoking']=>['internet_access']
 102   1.000        ['wheelchair', 'cuisine', 'opening_hours', 'internet_access', 'smoking']=>['internet_access:fee']
 103   1.000        ['internet_access', 'opening_hours', 'internet_access:fee', 'wheelchair']=>['cuisine', 'smoking']
 104   1.000        ['internet_access', 'opening_hours', 'wheelchair', 'smoking']=>['cuisine', 'internet_access:fee']
 105   1.000        ['cuisine', 'internet_access', 'opening_hours', 'wheelchair']=>['internet_access:fee', 'smoking']
 106   1.000        ['opening_hours', 'wheelchair', 'internet_access:fee', 'smoking']=>['cuisine', 'internet_access']
 107   1.000        ['cuisine', 'opening_hours', 'internet_access:fee', 'wheelchair']=>['smoking', 'internet_access']
 108   1.000        ['opening_hours', 'internet_access:fee', 'wheelchair']=>['cuisine', 'smoking', 'internet_access']
 109   1.000        ['internet_access', 'opening_hours', 'wheelchair']=>['cuisine', 'internet_access:fee', 'smoking']
 110   0.978        ['opening_hours', 'smoking']=>['cuisine']
 111   0.978        ['phone', 'addr:housenumber']=>['addr:street']
 112   0.973        ['opening_hours', 'wheelchair']=>['smoking']
 113   0.973        ['cuisine', 'opening_hours', 'wheelchair']=>['smoking']
 114   0.973        ['opening_hours', 'wheelchair']=>['cuisine', 'smoking']
 115   0.970        ['internet_access:fee']=>['cuisine']
 116   0.970        ['internet_access:fee']=>['smoking']
 117   0.970        ['internet_access:fee', 'internet_access']=>['smoking']
 118   0.970        ['internet_access:fee']=>['smoking', 'internet_access']
 119   0.970        ['internet_access:fee', 'internet_access']=>['cuisine']
 120   0.970        ['internet_access:fee']=>['cuisine', 'internet_access']
 121   0.969        ['cuisine', 'internet_access:fee']=>['smoking']
 122   0.969        ['internet_access:fee', 'smoking']=>['cuisine']
 123   0.969        ['cuisine', 'internet_access:fee', 'internet_access']=>['smoking']
 124   0.969        ['smoking', 'internet_access:fee', 'internet_access']=>['cuisine']
 125   0.969        ['cuisine', 'smoking', 'internet_access']=>['internet_access:fee']
 126   0.969        ['internet_access:fee', 'smoking']=>['cuisine', 'internet_access']
 127   0.969        ['cuisine', 'internet_access:fee']=>['smoking', 'internet_access']
 128   0.968        ['cuisine', 'internet_access:fee', 'smoking']=>['opening_hours']
 129   0.968        ['cuisine', 'internet_access', 'internet_access:fee', 'smoking']=>['opening_hours']
 130   0.968        ['cuisine', 'internet_access:fee', 'smoking']=>['opening_hours', 'internet_access']
 131   0.962        ['wheelchair', 'internet_access']=>['opening_hours']
 132   0.962        ['internet_access:fee', 'wheelchair']=>['opening_hours']
 133   0.962        ['wheelchair', 'internet_access:fee', 'internet_access']=>['opening_hours']
 134   0.962        ['internet_access:fee', 'wheelchair']=>['opening_hours', 'internet_access']
 135   0.962        ['wheelchair', 'internet_access']=>['opening_hours', 'internet_access:fee']
 136   0.962        ['cuisine', 'wheelchair', 'internet_access']=>['opening_hours']
 137   0.962        ['wheelchair', 'internet_access']=>['cuisine', 'opening_hours']
 138   0.962        ['internet_access', 'wheelchair', 'smoking']=>['opening_hours']
 139   0.962        ['wheelchair', 'internet_access']=>['opening_hours', 'smoking']
 140   0.962        ['cuisine', 'takeaway', 'opening_hours']=>['smoking']
 141   0.962        ['takeaway', 'opening_hours', 'smoking']=>['cuisine']
 142   0.962        ['cuisine', 'internet_access:fee', 'wheelchair']=>['opening_hours']
 143   0.962        ['internet_access:fee', 'wheelchair']=>['cuisine', 'opening_hours']
 144   0.962        ['wheelchair', 'internet_access:fee', 'smoking']=>['opening_hours']
