data_length : 28          min_support_num : 1 
min_support : 5.00%       min_conf : 75.00% 

index  confidence   rules
 105   1.000        ['village']=>['Q954362', 'en:Cuandixia']
 106   1.000        ['en:Cuandixia']=>['Q954362', 'village']
 107   1.000        ['village', 'en:Cuandixia']=>['爨底下']
 108   1.000        ['爨底下', 'village']=>['en:Cuandixia']
 109   1.000        ['爨底下', 'en:Cuandixia']=>['village']
 110   1.000        ['爨底下']=>['village', 'en:Cuandixia']
 111   1.000        ['en:Cuandixia']=>['爨底下', 'village']
 112   1.000        ['village']=>['爨底下', 'en:Cuandixia']
 113   1.000        ['Q954362', 'en:Cuandixia']=>['cuàndǐxia cūn']
 114   1.000        ['en:Cuandixia', 'cuàndǐxia cūn']=>['Q954362']
 115   1.000        ['Q954362', 'cuàndǐxia cūn']=>['en:Cuandixia']
 116   1.000        ['cuàndǐxia cūn']=>['Q954362', 'en:Cuandixia']
 117   1.000        ['Q954362']=>['en:Cuandixia', 'cuàndǐxia cūn']
 118   1.000        ['en:Cuandixia']=>['Q954362', 'cuàndǐxia cūn']
 119   1.000        ['attraction', 'en:Cuandixia']=>['cuàndǐxia cūn']
 120   1.000        ['en:Cuandixia', 'cuàndǐxia cūn']=>['attraction']
 121   1.000        ['attraction', 'cuàndǐxia cūn']=>['en:Cuandixia']
 122   1.000        ['cuàndǐxia cūn']=>['attraction', 'en:Cuandixia']
 123   1.000        ['en:Cuandixia']=>['attraction', 'cuàndǐxia cūn']
 124   1.000        ['爨底下', 'Q954362']=>['attraction']
 125   1.000        ['attraction', '爨底下']=>['Q954362']
 126   1.000        ['attraction', 'Q954362']=>['爨底下']
 127   1.000        ['爨底下']=>['attraction', 'Q954362']
 128   1.000        ['Q954362']=>['attraction', '爨底下']
 129   1.000        ['爨底下', 'en:Cuandixia']=>['cuàndǐxia cūn']
 130   1.000        ['en:Cuandixia', 'cuàndǐxia cūn']=>['爨底下']
 131   1.000        ['爨底下', 'cuàndǐxia cūn']=>['en:Cuandixia']
 132   1.000        ['爨底下']=>['en:Cuandixia', 'cuàndǐxia cūn']
 133   1.000        ['en:Cuandixia']=>['爨底下', 'cuàndǐxia cūn']
 134   1.000        ['cuàndǐxia cūn']=>['爨底下', 'en:Cuandixia']
 135   1.000        ['village', 'en:Cuandixia']=>['cuàndǐxia cūn']
 136   1.000        ['village', 'cuàndǐxia cūn']=>['en:Cuandixia']
 137   1.000        ['en:Cuandixia', 'cuàndǐxia cūn']=>['village']
 138   1.000        ['cuàndǐxia cūn']=>['village', 'en:Cuandixia']
 139   1.000        ['village']=>['en:Cuandixia', 'cuàndǐxia cūn']
 140   1.000        ['en:Cuandixia']=>['village', 'cuàndǐxia cūn']
 141   1.000        ['attraction', 'village']=>['cuàndǐxia cūn']
 142   1.000        ['village', 'cuàndǐxia cūn']=>['attraction']
 143   1.000        ['attraction', 'cuàndǐxia cūn']=>['village']
 144   1.000        ['village']=>['attraction', 'cuàndǐxia cūn']
 145   1.000        ['cuàndǐxia cūn']=>['attraction', 'village']
 146   1.000        ['爨底下', 'en:Cuandixia']=>['Q954362']
 147   1.000        ['Q954362', 'en:Cuandixia']=>['爨底下']
 148   1.000        ['爨底下', 'Q954362']=>['en:Cuandixia']
 149   1.000        ['爨底下']=>['Q954362', 'en:Cuandixia']
 150   1.000        ['en:Cuandixia']=>['爨底下', 'Q954362']
 151   1.000        ['Q954362']=>['爨底下', 'en:Cuandixia']
 152   1.000        ['attraction', 'Q954362', 'village']=>['cuàndǐxia cūn']
 153   1.000        ['Q954362', 'village', 'cuàndǐxia cūn']=>['attraction']
 154   1.000        ['attraction', 'village', 'cuàndǐxia cūn']=>['Q954362']
 155   1.000        ['attraction', 'Q954362', 'cuàndǐxia cūn']=>['village']
 156   1.000        ['attraction', 'Q954362']=>['village', 'cuàndǐxia cūn']
 157   1.000        ['attraction', 'cuàndǐxia cūn']=>['Q954362', 'village']
 158   1.000        ['Q954362', 'village']=>['attraction', 'cuàndǐxia cūn']
 159   1.000        ['attraction', 'village']=>['Q954362', 'cuàndǐxia cūn']
 160   1.000        ['village', 'cuàndǐxia cūn']=>['attraction', 'Q954362']
 161   1.000        ['Q954362', 'cuàndǐxia cūn']=>['attraction', 'village']
 162   1.000        ['village']=>['attraction', 'Q954362', 'cuàndǐxia cūn']
 163   1.000        ['cuàndǐxia cūn']=>['attraction', 'Q954362', 'village']
 164   1.000        ['Q954362']=>['attraction', 'village', 'cuàndǐxia cūn']
 165   1.000        ['爨底下', 'Q954362', 'en:Cuandixia']=>['cuàndǐxia cūn']
 166   1.000        ['爨底下', 'en:Cuandixia', 'cuàndǐxia cūn']=>['Q954362']
 167   1.000        ['Q954362', 'en:Cuandixia', 'cuàndǐxia cūn']=>['爨底下']
 168   1.000        ['爨底下', 'Q954362', 'cuàndǐxia cūn']=>['en:Cuandixia']
 169   1.000        ['爨底下', 'cuàndǐxia cūn']=>['Q954362', 'en:Cuandixia']
 170   1.000        ['爨底下', 'Q954362']=>['en:Cuandixia', 'cuàndǐxia cūn']
 171   1.000        ['en:Cuandixia', 'cuàndǐxia cūn']=>['爨底下', 'Q954362']
 172   1.000        ['爨底下', 'en:Cuandixia']=>['Q954362', 'cuàndǐxia cūn']
 173   1.000        ['Q954362', 'en:Cuandixia']=>['爨底下', 'cuàndǐxia cūn']
