data_length : 4228        min_support_num : 1057 
min_support : 25.00%      min_conf : 95.00% 

index  confidence   rules
 110   0.995        ['bridge']=>['yes', 'oneway']
 111   0.995        ['1']=>['oneway']
 112   0.995        ['yes', '1']=>['oneway']
 113   0.995        ['1']=>['yes', 'oneway']
 114   0.995        ['1', 'layer']=>['oneway']
 115   0.995        ['1']=>['oneway', 'layer']
 116   0.995        ['yes', '1', 'layer']=>['oneway']
 117   0.995        ['yes', '1']=>['oneway', 'layer']
 118   0.995        ['1', 'layer']=>['yes', 'oneway']
 119   0.995        ['1']=>['oneway', 'yes', 'layer']
 120   0.995        ['bridge', 'layer']=>['oneway']
 121   0.995        ['bridge', 'yes', 'layer']=>['oneway']
 122   0.995        ['bridge', 'layer']=>['yes', 'oneway']
 123   0.995        ['3']=>['lanes']
 124   0.995        ['3']=>['oneway']
 125   0.995        ['3']=>['yes']
 126   0.995        ['3']=>['lanes', 'oneway']
 127   0.995        ['3']=>['yes', 'oneway']
 128   0.995        ['3']=>['lanes', 'yes']
 129   0.995        ['3']=>['lanes', 'yes', 'oneway']
 130   0.995        ['1', 'bridge']=>['oneway']
 131   0.995        ['yes', '1', 'bridge']=>['oneway']
 132   0.995        ['1', 'bridge']=>['yes', 'oneway']
 133   0.995        ['bridge', '1', 'layer']=>['oneway']
 134   0.995        ['1', 'bridge']=>['oneway', 'layer']
 135   0.995        ['bridge', 'yes', '1', 'layer']=>['oneway']
 136   0.995        ['yes', '1', 'bridge']=>['oneway', 'layer']
 137   0.995        ['bridge', '1', 'layer']=>['yes', 'oneway']
 138   0.995        ['1', 'bridge']=>['oneway', 'yes', 'layer']
 139   0.991        ['2']=>['oneway']
 140   0.989        ['2']=>['yes']
 141   0.989        ['2']=>['yes', 'oneway']
 142   0.988        ['2', 'oneway']=>['lanes']
 143   0.988        ['2', 'yes']=>['lanes']
 144   0.988        ['2', 'yes', 'oneway']=>['lanes']
 145   0.988        ['2', 'yes']=>['lanes', 'oneway']
 146   0.986        ['2', 'oneway']=>['lanes', 'yes']
 147   0.983        ['lanes', 'bridge']=>['layer']
 148   0.983        ['lanes', 'bridge', 'oneway']=>['layer']
 149   0.983        ['lanes', 'bridge']=>['oneway', 'layer']
 150   0.983        ['lanes', 'yes', 'bridge']=>['layer']
 151   0.983        ['lanes', 'bridge']=>['yes', 'layer']
 152   0.983        ['oneway', 'lanes', 'yes', 'bridge']=>['layer']
 153   0.983        ['lanes', 'oneway', 'bridge']=>['yes', 'layer']
 154   0.983        ['lanes', 'yes', 'bridge']=>['oneway', 'layer']
 155   0.983        ['lanes', 'bridge']=>['oneway', 'yes', 'layer']
 156   0.980        ['lanes', 'bridge', 'layer']=>['1']
 157   0.980        ['lanes', 'bridge', 'yes', 'layer']=>['1']
 158   0.980        ['lanes', 'bridge', 'layer']=>['yes', '1']
 159   0.980        ['lanes', 'bridge', 'oneway', 'layer']=>['1']
 160   0.980        ['lanes', 'bridge', 'layer']=>['1', 'oneway']
 161   0.980        ['lanes', 'layer', 'bridge', 'yes', 'oneway']=>['1']
 162   0.980        ['lanes', 'yes', 'layer', 'bridge']=>['1', 'oneway']
 163   0.980        ['lanes', 'oneway', 'layer', 'bridge']=>['yes', '1']
 164   0.980        ['lanes', 'layer', 'bridge']=>['yes', '1', 'oneway']
 165   0.979        ['2']=>['lanes']
 166   0.979        ['2']=>['lanes', 'oneway']
 167   0.977        ['bridge']=>['layer']
 168   0.977        ['yes', 'bridge']=>['layer']
 169   0.977        ['bridge']=>['yes', 'layer']
 170   0.977        ['bridge', 'oneway']=>['layer']
 171   0.977        ['bridge', 'yes', 'oneway']=>['layer']
 172   0.977        ['bridge', 'oneway']=>['yes', 'layer']
 173   0.977        ['2']=>['lanes', 'yes']
 174   0.977        ['2']=>['lanes', 'yes', 'oneway']
 175   0.976        ['bridge', 'layer']=>['1']
 176   0.976        ['bridge', 'yes', 'layer']=>['1']
 177   0.976        ['bridge', 'layer']=>['yes', '1']
 178   0.976        ['bridge', 'oneway', 'layer']=>['1']
 179   0.976        ['oneway', 'bridge', 'yes', 'layer']=>['1']
 180   0.976        ['bridge', 'oneway', 'layer']=>['yes', '1']
 181   0.976        ['lanes', '1']=>['bridge']
 182   0.976        ['lanes', 'yes', '1']=>['bridge']
 183   0.976        ['lanes', '1']=>['yes', 'bridge']
 184   0.976        ['lanes', '1', 'oneway']=>['bridge']
 185   0.976        ['lanes', '1']=>['oneway', 'bridge']
 186   0.976        ['lanes', '1', 'layer']=>['bridge']
 187   0.976        ['lanes', '1']=>['layer', 'bridge']
 188   0.976        ['lanes', 'yes', '1', 'layer']=>['bridge']
 189   0.976        ['lanes', '1', 'layer']=>['yes', 'bridge']
 190   0.976        ['lanes', 'yes', '1']=>['layer', 'bridge']
 191   0.976        ['lanes', '1']=>['yes', 'layer', 'bridge']
